Issue ID,Description,State,Severity,Story Points,Project Path,Location Kind,Path,Line,Column,Incident ID,Help Link,Assembly Name,Assembly Version,Assembly Public Key,Snippet
Project.0001,Project file needs to be converted to SDK-style,Active,Mandatory,1,GenOpCodes\GenOpCodes.vbproj,File,GenOpCodes\GenOpCodes.vbproj,,,,,,,,
Project.0002,Project's target framework(s) needs to be changed,Active,Mandatory,1,GenOpCodes\GenOpCodes.vbproj,File,GenOpCodes\GenOpCodes.vbproj,,,,,,,,"Current target framework: .NETFramework,Version=v4.8.1 Recommended target framework: net10.0"
Project.0001,Project file needs to be converted to SDK-style,Active,Mandatory,1,RunTests\RunTests.vbproj,File,RunTests\RunTests.vbproj,,,,,,,,
Project.0002,Project's target framework(s) needs to be changed,Active,Mandatory,1,RunTests\RunTests.vbproj,File,RunTests\RunTests.vbproj,,,,,,,,"Current target framework: .NETFramework,Version=v4.8.1 Recommended target framework: net10.0"
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,RunTests\RunTests.vbproj,File,RunTests\ModuleMain.vb,36,8,T:Microsoft.VisualBasic.ApplicationServices.AssemblyInfo,,,,,"For Each f As IO.FileInfo In (New IO.DirectoryInfo(IO.Path.Combine(My.Application.Info.DirectoryPath, ""80186_tests""))).GetFiles(""*.bin"")"
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,RunTests\RunTests.vbproj,File,RunTests\ModuleMain.vb,36,8,P:Microsoft.VisualBasic.ApplicationServices.ApplicationBase.Info,,,,,"For Each f As IO.FileInfo In (New IO.DirectoryInfo(IO.Path.Combine(My.Application.Info.DirectoryPath, ""80186_tests""))).GetFiles(""*.bin"")"
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,RunTests\RunTests.vbproj,File,RunTests\ModuleMain.vb,36,8,P:Microsoft.VisualBasic.ApplicationServices.AssemblyInfo.DirectoryPath,,,,,"For Each f As IO.FileInfo In (New IO.DirectoryInfo(IO.Path.Combine(My.Application.Info.DirectoryPath, ""80186_tests""))).GetFiles(""*.bin"")"
Project.0002,Project's target framework(s) needs to be changed,Active,Mandatory,1,RunTests2\RunTests2.csproj,File,RunTests2\RunTests2.csproj,,,,,,,,Current target framework: net481 Recommended target framework: net10.0
Project.0001,Project file needs to be converted to SDK-style,Active,Mandatory,1,x8086NetEmu\x8086NetEmu.vbproj,File,x8086NetEmu\x8086NetEmu.vbproj,,,,,,,,
Project.0002,Project's target framework(s) needs to be changed,Active,Mandatory,1,x8086NetEmu\x8086NetEmu.vbproj,File,x8086NetEmu\x8086NetEmu.vbproj,,,,,,,,"Current target framework: .NETFramework,Version=v4.8.1 Recommended target framework: net10.0"
